,tailnum,Distance,CRSElapsedTime,aircraft_type,engine_type,model,manufacturer
27,N11165,751.8509592887225,134.6045858680393,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
28,N11176,744.6299752950864,133.85424101015647,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
29,N11181,740.4006327293644,133.69542709232095,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
30,N11184,737.8834336395312,133.19480519480518,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
31,N11187,788.6332992849847,137.41709227102484,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
32,N11189,809.8013769363167,139.81927710843374,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
33,N11191,801.9192654192655,139.0024255024255,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
34,N11192,783.8877229800629,136.64637985309548,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
35,N11193,800.8722375690608,138.80421270718233,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
36,N11194,803.5615550755939,139.52627789776818,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
37,N11199,800.1070763500932,138.6596834264432,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
38,N111US,1128.9973238180196,176.47636039250668,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
39,N11206,1291.9122043244813,196.7583804962995,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
40,N112US,1117.2142206016408,174.9398359161349,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
41,N113UW,986.9997721317079,157.35729748205537,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
42,N114UW,986.6593483592198,157.45311222702324,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
43,N11526,468.6310823561127,96.8258525407737,Fixed Wing Multi-Engine,Turbo-Fan,EMB-135LR,EMBRAER
44,N11535,477.6292962356792,100.56955810147299,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
45,N11536,483.92347765686503,101.19529983792545,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
46,N11539,488.46566820276496,101.7471198156682,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
47,N11544,493.9665758851201,100.87521663778163,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
48,N11547,493.9229454145805,100.83013798998657,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
49,N11548,479.4588398749566,100.56605302767164,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
50,N11551,498.77136177673873,101.406195207481,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
51,N11565,484.5569897429987,101.28615881064884,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145LR,EMBRAER
52,N11612,780.3828508464389,140.76650305519382,Fixed Wing Multi-Engine,Turbo-Fan,737-524,BOEING
53,N11641,791.0087342709104,140.8896373056995,Fixed Wing Multi-Engine,Turbo-Fan,737-524,BOEING
54,N11651,784.6255164273067,141.3032657879205,Fixed Wing Multi-Engine,Turbo-Fan,737-524,BOEING
55,N11656,794.238203957382,141.0500591916117,Fixed Wing Multi-Engine,Turbo-Fan,737-524,BOEING
56,N116UA,1516.2853403141362,211.96596858638745,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
57,N117UA,1404.2880434782608,200.2409420289855,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
58,N117UW,981.423305444404,156.8444282769492,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
59,N118US,1091.1023830538393,172.0503089143866,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
60,N119UA,1419.9315789473685,202.28157894736842,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
61,N119US,1106.9236430542778,173.13247470101197,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
62,N1200K,1483.932222860425,221.6375646180356,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
63,N1201P,1548.682710576314,228.83977200759975,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
64,N120UA,1348.1738095238095,193.79761904761904,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
65,N12109,1545.660539808455,226.08348650478862,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
66,N12114,1372.0674051378742,210.57695027103463,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
67,N12116,1578.3165504337471,233.67766626977377,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
68,N12122,781.5443141088302,138.65705441511892,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
69,N12125,1399.370636998255,209.17561082024432,Fixed Wing Multi-Engine,Turbo-Jet,757-224,BOEING
70,N12126,784.2798747321576,139.07367727047964,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
71,N12135,775.8879040667362,137.94195342370526,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
72,N12136,789.8205720376621,139.73600994848107,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
73,N12142,789.255979550849,139.5203578601424,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
74,N12145,778.888804409808,138.5111195590192,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
75,N12157,787.6078515041604,139.99786643908683,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
76,N12160,782.0031055900621,139.24157054126,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
77,N12163,785.546902268761,137.33660558464223,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
78,N12166,779.0267918479506,137.27341424318755,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
79,N12167,754.1032476975279,135.38414929714008,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
80,N12172,747.308672831792,134.11422144463884,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
81,N12175,792.0509554140127,140.19883688728885,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
82,N12195,826.3050589577787,142.3198934956257,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
83,N121DE,996.8298563138989,158.4299530256977,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
84,N121UA,1458.6020408163265,205.48979591836735,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
85,N121UW,992.2021707859291,158.50281156008893,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
86,N12201,805.0023629489604,138.94187145557655,Fixed Wing Multi-Engine,Turbo-Fan,EMB-145XR,EMBRAER
87,N12216,1328.929948283968,201.4554536906441,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
88,N12218,1307.7922360624018,199.00036280082236,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
89,N12221,1290.541777028654,197.0317842523477,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
90,N12225,1303.7796123474516,198.45477386934672,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
91,N12238,1310.446743192739,199.18326214628937,Fixed Wing Multi-Engine,Turbo-Fan,737-824,BOEING
92,N122UA,1436.8550368550368,203.85995085995086,Fixed Wing Multi-Engine,Turbo-Fan,747-422,BOEING
93,N122US,1080.6637168141592,170.22743362831858,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
94,N12313,856.9673058995871,146.02883206818484,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
95,N12318,853.1344071824664,145.62536308423554,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
96,N12319,849.2296056542705,144.85963405773168,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
97,N12322,1003.3703194032013,164.13275874556385,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
98,N12327,844.9574931497225,144.23059088034847,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
99,N12349,821.4755043227666,140.7143371757925,Fixed Wing Multi-Engine,Turbo-Jet,737-3TO,BOEING
100,N123UW,981.5713720838276,157.02174772637406,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
101,N124DE,999.5995075913008,158.56893721789086,Fixed Wing Multi-Engine,Turbo-Fan,767-332,BOEING
102,N124US,1053.1147403685093,167.16499162479062,Fixed Wing Multi-Engine,Turbo-Fan,A320-214,AIRBUS INDUSTRIE
